bin,referenceLeft_m,referenceRight_m,direction,samples,acquisition,signalEnergy,noiseEnergy,gate
12,0.11,0.12,1,134,18,0.000102640428480771,7.79146028318203e-05,0.568471715989301
13,0.12,0.13,1,133,18,0.00017615001765016,8.45536713879183e-05,0.675671365833383
14,0.13,0.14,1,133,18,6.19349936437039e-05,0.000114405568908848,0.35122374992564
15,0.14,0.15,1,134,18,0.000125289045385366,7.03898791922303e-05,0.640278689469609
16,0.15,0.16,1,133,18,0.000107982635268221,0.000107587581663612,0.500916299130352
17,0.16,0.17,1,133,18,5.13056134234318e-05,0.000108401344201987,0.321248455209856
18,0.17,0.18,1,134,18,7.1815089452275e-05,8.06579496825365e-05,0.471001888988246
19,0.18,0.19,1,133,18,6.69364795689987e-05,7.08666121247647e-05,0.485740042159215
20,0.19,0.2,1,133,18,9.06259596938087e-05,7.85444700508223e-05,0.535708042065105
21,0.2,0.21,1,134,18,0.000213408608178843,7.06100334157079e-05,0.751389440427975
22,0.21,0.22,1,133,18,0.000202429809207107,0.000109539825396504,0.648876642960186
23,0.22,0.23,1,133,18,0.000139919736094913,7.04244621745232e-05,0.665194178142654
24,0.23,0.24,1,133,18,0.00023231000293523,0.00012099098128701,0.657541340980523
25,0.24,0.25,1,134,18,0.000120506296181625,8.09386434400994e-05,0.598209597162943
26,0.25,0.26,1,133,18,0.000135478472226573,7.92692006781223e-05,0.630872830397088
27,0.26,0.27,1,133,18,0.000177101417352098,9.45104600545028e-05,0.652038559738603
28,0.27,0.28,1,134,18,0.000165308927270322,0.000122946008060173,0.573481689327502
29,0.28,0.29,1,133,18,0.000203974816058091,6.98521091574156e-05,0.744904161260107
30,0.29,0.3,1,134,18,7.2286088936782e-05,0.000139598929267527,0.341157149992929
31,0.3,0.31,1,133,18,6.54851386634767e-05,8.34949042175786e-05,0.439556449287369
32,0.31,0.32,1,133,18,8.72219648051216e-05,6.93883656322422e-05,0.556936215903114
33,0.32,0.33,1,134,18,4.70432098617355e-05,9.11979967347088e-05,0.340298027049668
34,0.33,0.34,1,133,18,0.000169583179256781,5.98511152010955e-05,0.739136142037894
35,0.34,0.35,1,133,18,8.87543826254704e-05,4.94981486926246e-05,0.641972930110495
36,0.35,0.36,1,134,18,0.000117540770634661,4.85733653434923e-05,0.70759041632748
37,0.36,0.37,1,133,18,0.000123173248256639,7.06710899980323e-05,0.635423501999914
38,0.37,0.38,1,133,18,6.23568483524266e-05,6.02597591665769e-05,0.50855140762855
39,0.38,0.39,1,134,18,0.0001470778087669,5.54801380774791e-05,0.726102387283263
40,0.39,0.4,1,133,18,0.000135624660304936,5.06584986827691e-05,0.72805647618359
41,0.4,0.41,1,133,18,9.09005700158695e-05,4.4961143500023e-05,0.669066859702431
42,0.41,0.42,1,134,18,0.000168966202558213,4.71034448437919e-05,0.781998788769464
43,0.42,0.43,1,133,18,5.27695660668196e-05,6.38796877682926e-05,0.452378085001823
44,0.43,0.44,1,133,18,0.000191895872514785,5.2679566055807e-05,0.784608109613582
45,0.44,0.45,1,134,18,0.000149313407510762,6.30124981809859e-05,0.703227460748635
46,0.45,0.46,1,133,18,7.06444281730099e-05,4.08694243482088e-05,0.633503610321128
47,0.46,0.47,1,133,18,0.000148879611389503,6.76245393403157e-05,0.687652457875017
48,0.47,0.48,1,134,18,0.000153209244363308,6.58708529237084e-05,0.699329817087807
49,0.48,0.49,1,133,18,0.000136170345823467,5.65027631811089e-05,0.706742868929536
50,0.49,0.5,1,133,18,1.87835153704288e-06,7.7327072039939e-05,0.0237149358240255
51,0.5,0.51,1,134,18,0.000127039888076389,6.6624390799681e-05,0.655979971183456
52,0.51,0.52,1,133,18,6.76694876752603e-05,7.02309016755982e-05,0.490712810847035
53,0.52,0.53,1,133,18,0.000156487008466151,6.29946290479899e-05,0.712984513139824
54,0.53,0.54,1,134,18,0.000159042173147854,4.97670015313262e-05,0.76166276406298
55,0.54,0.55,1,133,18,0.000167817107273464,6.37031964132456e-05,0.724848337710165
56,0.55,0.56,1,133,18,0.000133813468794659,5.423513772747e-05,0.711589791966431
57,0.56,0.57,1,134,18,0.000333715916180906,6.70256590580264e-05,0.832745931045303
58,0.57,0.58,1,133,18,8.32477711182798e-05,5.76693812945287e-05,0.590756836147315
59,0.58,0.59,1,133,18,0.000250413414178156,5.86577528245831e-05,0.810212795346053
60,0.59,0.6,1,134,18,0.000164318230752697,9.52325120373379e-05,0.633087114243488
61,0.6,0.61,1,133,18,0.000194826425849634,5.56020245054587e-05,0.777972413171833
62,0.61,0.62,1,133,18,0.000172837108977724,6.43594614373402e-05,0.728666138280502
63,0.62,0.63,1,134,18,0.000297811740665506,6.02406720490278e-05,0.831754598182093
64,0.63,0.64,1,133,18,0.000129161616468961,5.59512259245931e-05,0.697745303885294
65,0.64,0.65,1,133,18,0.00038422104821926,3.92298141142284e-05,0.907356868048286
66,0.65,0.66,1,134,18,7.86747483410691e-05,7.38340565109433e-05,0.515870204460729
67,0.66,0.67,1,133,18,0.000186971133213947,4.69653245818001e-05,0.799238968460375
68,0.67,0.68,1,133,18,6.77525502592365e-05,9.80255925736697e-05,0.408694108291023
69,0.68,0.69,1,133,18,0.000140662962565505,8.26821751972957e-05,0.629800872203868
70,0.69,0.7,1,134,18,0.000159556525913117,3.93926475893394e-05,0.801996425037408
71,0.7,0.71,1,133,18,0.000179700316717235,5.20119805841881e-05,0.775532066317014
72,0.71,0.72,1,134,18,5.95798539504373e-05,7.43598681214628e-05,0.444825874123094
73,0.72,0.73,1,133,18,5.91394612857419e-05,6.41028110670625e-05,0.479863444228324
74,0.73,0.74,1,133,18,6.9132251371151e-05,7.18248486639437e-05,0.490448876671972
75,0.74,0.75,1,134,18,4.93091651604096e-05,0.000122360217653356,0.287233310635842
76,0.75,0.76,1,133,18,0.000107318403356572,0.000105072094675701,0.50528815719555
77,0.76,0.77,1,133,18,9.50431847346944e-05,7.47583243757766e-05,0.559731095633905
78,0.77,0.78,1,134,18,8.90296181065887e-05,6.21769482491188e-05,0.588794655234416
79,0.78,0.79,1,133,18,5.84219901850798e-05,5.48981739738343e-05,0.515548054652938
80,0.79,0.8,1,133,18,0.000140327978173847,5.33175989602188e-05,0.72466399827296
81,0.8,0.81,1,134,18,0.000121745407930967,4.91114278528722e-05,0.712558016028074
82,0.81,0.82,1,133,18,0.000172947710058653,4.39425622591606e-05,0.797397265494828
83,0.82,0.83,1,133,18,5.81861264731681e-05,5.86599732053898e-05,0.497972346815489
84,0.83,0.84,1,134,18,0.000159660181056473,4.38964846009197e-05,0.784352507154926
85,0.84,0.85,1,133,18,0.000137064565320351,4.23811362136432e-05,0.763821948080408
