bin,referenceLeft_m,referenceRight_m,direction,samples,acquisition,signalEnergy,noiseEnergy,gate
49,0.48,0.49,1,133,10,0.00130020583687112,0.000119962075010139,0.91552965391872
50,0.49,0.5,1,133,10,0.00283350364473046,0.00015879118584602,0.9469333087691
51,0.5,0.51,1,134,10,0.00341412344501699,0.000133623828882943,0.962335584085714
52,0.51,0.52,1,133,10,0.00285882866666798,0.000121754405183732,0.959150809674266
53,0.52,0.53,1,133,10,0.00391527266544335,0.000178246164669641,0.956456493284356
54,0.53,0.54,1,134,10,0.00173014013613705,0.000211256239666829,0.891183355290156
55,0.54,0.55,1,133,10,0.00238753943465342,0.000137743942030238,0.945454065352804
56,0.55,0.56,1,133,10,0.00301923547853781,0.000141507904714367,0.955229549648296
57,0.56,0.57,1,134,10,0.00497374846067939,0.000177960010968399,0.965456117723316
58,0.57,0.58,1,133,10,0.00572491118378025,0.000163813047513862,0.972181912230952
59,0.58,0.59,1,133,10,0.00334710655997181,0.00028401977409459,0.921781907880764
60,0.59,0.6,1,134,10,0.0049728549374513,0.000197595315372067,0.961783731452755
61,0.6,0.61,1,133,10,0.00134399828539383,0.000166436268803772,0.889809016656012
62,0.61,0.62,1,133,10,0.00601410374789687,0.000219226888221995,0.964829895762036
63,0.62,0.63,1,134,10,0.000919460492916071,0.000150013051071738,0.859731872831211
64,0.63,0.64,1,133,10,0.00725639519254753,0.000166724070016965,0.977539890695577
65,0.64,0.65,1,133,10,0.00147229502792874,0.00024312550696657,0.858270609438981
66,0.65,0.66,1,134,10,0.00596465472083774,0.000169368260562686,0.972388714376153
67,0.66,0.67,1,133,10,0.00173446728162807,0.000135525749855127,0.927526066903236
68,0.67,0.68,1,133,10,0.00458998748870665,0.000179099281943649,0.962445790870098
69,0.68,0.69,1,133,10,0.00221791694521948,0.000109390268615041,0.952997065464852
70,0.69,0.7,1,134,10,0.00269999952206302,0.000115452243627371,0.958993350539941
71,0.7,0.71,1,133,10,0.00329084709729109,0.000118065146579573,0.965365741875034
72,0.71,0.72,1,134,10,0.00301511503304293,0.000137218525899078,0.9564708101686
73,0.72,0.73,1,133,10,0.00211309460048826,9.30628314180933e-05,0.957816776775682
74,0.73,0.74,1,133,10,0.00250574816678603,8.21995914781006e-05,0.968237538329121
75,0.74,0.75,1,134,10,0.00233886797153455,7.70580951027446e-05,0.968104117022918
76,0.75,0.76,1,133,10,0.00148570058136304,0.000108554489659254,0.931908957586288
77,0.76,0.77,1,133,10,0.00176589211077361,0.000110051796872508,0.941335241195672
78,0.77,0.78,1,134,10,0.00229575811122796,0.000138853610100153,0.94296683578587
79,0.78,0.79,1,133,10,0.00233012140370011,8.66708349132263e-05,0.964138069657591
80,0.79,0.8,1,133,10,0.00174956907529979,0.000102788698169812,0.944509262928575
81,0.8,0.81,1,134,10,0.00221147280844427,9.25610430054514e-05,0.959826526443085
82,0.81,0.82,1,133,10,0.00296319137746586,0.000129033787864817,0.958271542023681
83,0.82,0.83,1,133,10,0.00177320060732758,0.000135637893416303,0.928942184808487
84,0.83,0.84,1,134,10,0.00262417879888031,0.000149359242294617,0.946148478918521
85,0.84,0.85,1,133,10,0.00208543236620824,0.00016761194100913,0.925606460346916
86,0.85,0.86,1,133,10,0.00224036166434468,0.000110379013047388,0.953045006576462
87,0.86,0.87,1,134,10,0.00196990712305424,0.00012288402379099,0.941282232593429
88,0.87,0.88,1,133,10,0.00229498445990917,0.000117849468254422,0.951157240090653
89,0.88,0.89,1,133,10,0.00295110177449962,0.000159977027329211,0.948578278623104
90,0.89,0.9,1,134,10,0.00180039305775576,8.70975971478898e-05,0.953855349205776
91,0.9,0.91,1,133,10,0.00245034062612856,8.40382962785342e-05,0.966840674243488
92,0.91,0.92,1,133,10,0.00148605710884248,8.84986761610318e-05,0.943794512075141
93,0.92,0.93,1,134,10,0.00558274690333991,0.000117904893335558,0.979317296067036
94,0.93,0.94,1,133,10,0.00104480734465721,0.00016200353378823,0.865758971283955
95,0.94,0.95,1,133,10,0.00599830963671635,0.000175356163765854,0.97159610360636
96,0.95,0.96,1,134,10,0.000881749442459628,0.000172372263397818,0.836477835111453
97,0.96,0.97,1,133,10,0.00533981178380932,0.000125485499538292,0.97703958393615
98,0.97,0.98,1,133,10,0.00203149199523832,0.000148382116741841,0.931930878060177
99,0.98,0.99,1,134,10,0.010040273369906,0.000226313278540629,0.977956327035445
100,0.99,1,1,133,10,0.00205714211370774,0.000127894059916306,0.941468218485288
101,1,1.01,1,133,10,0.00657720474731842,9.2337334011567e-05,0.98615537125554
102,1.01,1.02,1,134,10,0.00136377776641918,0.000168834521281348,0.889838726574051
103,1.02,1.03,1,133,10,0.00500275681959595,0.00014675264018248,0.971501627227073
104,1.03,1.04,1,133,10,0.00169421687194238,0.000209352362380144,0.890021146273331
105,1.04,1.05,1,133,10,0.00447744359934598,8.97265979795809e-05,0.980354006068764
106,1.05,1.06,1,134,10,0.00247100915879464,0.00014792262231214,0.943517955152835
107,1.06,1.07,1,133,10,0.00391618292317102,0.000132431373210553,0.96728970370704
108,1.07,1.08,1,134,10,0.00106205749781676,0.00012334400405305,0.895947487953666
109,1.08,1.09,1,133,10,0.00337854669849114,9.29119291456166e-05,0.973235478479872
110,1.09,1.1,1,133,10,0.00313248631199309,0.000164874834872948,0.949997944559499
111,1.1,1.11,1,133,10,0.00196150044141832,0.000124154130847737,0.940472342592741
112,1.11,1.12,1,134,10,0.00186839638125053,0.000139752775693237,0.930407173585687
113,1.12,1.13,1,133,10,0.00262023255469843,0.000141594024822106,0.948731746637514
114,1.13,1.14,1,134,10,0.00294928964372293,0.000126160299515112,0.958978262744123
115,1.14,1.15,1,133,10,0.0022522274238785,0.000141145539258532,0.941026517207109
116,1.15,1.16,1,133,10,0.00278706818678089,0.000163397202550428,0.944619854501171
117,1.16,1.17,1,134,10,0.00179013979687416,0.000153671114546982,0.920943383101687
118,1.17,1.18,1,133,10,0.00162993109422935,0.00014352695660982,0.919069438072186
119,1.18,1.19,1,133,10,0.00170709852393099,0.000136156229984484,0.92613271188084
120,1.19,1.2,1,133,10,0.00245428137963481,0.000125735590487434,0.951265595558669
121,1.2,1.21,1,134,10,0.00199847816388827,8.63009952699465e-05,0.958604250771198
